,snr,max_likelihoods_5,variance_5,max_likelihoods_10,variance_10,max_likelihoods_15,variance_15,max_likelihoods_20,variance_20
0,9,5,2.2903103424035782e-05,9,0.2611105215775514,15,0.2586588544022429,20,1.3499974471812703
1,8,5,0.006842847961011462,11,0.8697467581256623,16,1.0238419823588436,22,2.3512327059355025
2,7,5,3.012632691405308e-06,11,0.0006778549351577642,15,0.2801355910025909,21,0.4899804301686667
3,6,5,2.419592580601522e-06,9,0.8598115784593597,16,0.8517339646215126,20,0.09489561958401298
4,5,5,1.2708515231706712e-07,10,0.0013001828197734618,15,0.3878915309554145,20,0.39990455771310507
5,4,5,6.270396833639342e-07,11,0.9464457596361084,15,0.13977987356466373,19,0.6487070535792931
6,3,9,3.0500000454485416,25,0.2392692593161473,25,6.091097430332118e-08,25,5.815238669025812e-05
7,2,25,8.056689136287875e-05,25,0.12840970759795078,25,0.15990883906505107,25,3.1283579921366596e-05
8,1,25,1.5173426835071945e-05,25,1.099683853075517e-06,25,3.172785298277132e-11,25,0.08999969735727177
