,trace,fit,frames
0,15185.076171875,14992.914,0
1,16240.513671875,16201.6455,1
2,16087.2314453125,16201.6455,2
3,14819.880859375,14992.914,3
4,15057.513671875,14992.914,4
5,15029.265625,14992.914,5
6,15076.158203125,14992.914,6
7,14845.6337890625,14992.914,7
8,16449.359375,16201.6455,8
9,14950.25390625,14992.914,9
10,15168.8935546875,14992.914,10
11,15119.927734375,14992.914,11
12,14842.4453125,14992.914,12
13,15102.0029296875,14992.914,13
14,15313.1728515625,14992.914,14
15,14879.6376953125,14992.914,15
16,14955.8642578125,14992.914,16
17,14938.376953125,14992.914,17
18,15167.8525390625,14992.914,18
19,13773.4208984375,13784.182,19
20,13766.03125,13784.182,20
21,13742.1806640625,13784.182,21
22,13630.8330078125,13784.182,22
23,13718.3076171875,13784.182,23
24,13841.2021484375,13784.182,24
25,13471.228515625,13784.182,25
26,12727.0859375,12575.449,26
27,12630.279296875,12575.449,27
28,12905.9814453125,12575.449,28
29,12402.0693359375,12575.449,29
30,11457.765625,11366.718,30
31,12459.533203125,12575.449,31
32,12797.982421875,12575.449,32
33,12727.408203125,12575.449,33
34,12574.08203125,12575.449,34
35,15068.359375,14992.914,35
36,13552.337890625,13784.182,36
37,15096.8349609375,14992.914,37
38,14884.080078125,14992.914,38
39,13832.6689453125,13784.182,39
40,12761.2333984375,12575.449,40
41,12683.078125,12575.449,41
42,12537.5693359375,12575.449,42
43,12510.74609375,12575.449,43
44,12510.8603515625,12575.449,44
45,12472.087890625,12575.449,45
46,10144.396484375,10157.985,46
47,10118.85546875,10157.985,47
48,11322.5234375,11366.718,48
49,11263.73828125,11366.718,49
50,11306.8125,11366.718,50
51,11411.890625,11366.718,51
52,11405.796875,11366.718,52
53,11531.259765625,11366.718,53
54,10428.623046875,10157.985,54
55,8934.07421875,8949.254,55
56,10133.3349609375,10157.985,56
57,10140.5009765625,10157.985,57
58,11204.029296875,11366.718,58
59,11161.94921875,11366.718,59
60,11632.693359375,11366.718,60
61,11175.3251953125,11366.718,61
62,11279.419921875,11366.718,62
63,11355.2421875,11366.718,63
64,12715.177734375,12575.449,64
65,11494.955078125,11366.718,65
66,11303.0546875,11366.718,66
67,11306.9541015625,11366.718,67
68,11579.625,11366.718,68
69,11269.8623046875,11366.718,69
70,11302.599609375,11366.718,70
71,11327.0341796875,11366.718,71
72,11409.51171875,11366.718,72
73,11370.01953125,11366.718,73
74,11519.4541015625,11366.718,74
75,9821.7978515625,10157.985,75
76,10021.212890625,10157.985,76
77,10047.3232421875,10157.985,77
78,10352.642578125,10157.985,78
79,10411.6435546875,10157.985,79
80,10249.771484375,10157.985,80
81,10190.462890625,10157.985,81
82,10269.3203125,10157.985,82
83,10279.216796875,10157.985,83
84,10406.1923828125,10157.985,84
85,10189.3251953125,10157.985,85
86,11408.8701171875,11366.718,86
87,11385.40625,11366.718,87
88,10237.810546875,10157.985,88
89,11230.810546875,11366.718,89
90,11334.439453125,11366.718,90
91,11432.4130859375,11366.718,91
92,12556.8818359375,12575.449,92
93,12595.568359375,12575.449,93
94,12552.8359375,12575.449,94
95,12604.615234375,12575.449,95
96,12543.771484375,12575.449,96
97,11351.845703125,11366.718,97
98,11585.533203125,11366.718,98
99,13884.4169921875,13784.182,99
100,13881.861328125,13784.182,100
101,13902.603515625,13784.182,101
102,13874.0263671875,13784.182,102
103,13884.041015625,13784.182,103
104,13810.26953125,13784.182,104
105,13901.10546875,13784.182,105
106,13784.2939453125,13784.182,106
107,13719.2255859375,13784.182,107
108,13916.1416015625,13784.182,108
109,13822.3955078125,13784.182,109
110,15219.5927734375,14992.914,110
111,15993.8583984375,16201.6455,111
112,17597.22265625,17410.379,112
113,18509.29296875,18619.11,113
114,18732.904296875,18619.11,114
115,18561.98828125,18619.11,115
116,19114.955078125,18619.11,116
117,18217.375,18619.11,117
118,17333.5546875,17410.379,118
119,17183.759765625,17410.379,119
120,17503.00390625,17410.379,120
121,16451.419921875,16201.6455,121
122,16394.06640625,16201.6455,122
123,16061.08203125,16201.6455,123
124,16616.900390625,16201.6455,124
125,16380.265625,16201.6455,125
126,14972.654296875,14992.914,126
127,15121.1455078125,14992.914,127
128,13713.8759765625,13784.182,128
129,13809.259765625,13784.182,129
130,13780.9091796875,13784.182,130
131,13850.0380859375,13784.182,131
132,13809.2021484375,13784.182,132
133,12751.94140625,12575.449,133
134,12660.29296875,12575.449,134
135,12441.63671875,12575.449,135
136,13927.2275390625,13784.182,136
137,13699.7421875,13784.182,137
138,13862.40234375,13784.182,138
139,12548.23046875,12575.449,139
140,12461.70703125,12575.449,140
141,12876.04296875,12575.449,141
142,12479.11328125,12575.449,142
143,12538.556640625,12575.449,143
144,12630.681640625,12575.449,144
145,12586.001953125,12575.449,145
146,12386.275390625,12575.449,146
147,12432.01953125,12575.449,147
148,12515.4462890625,12575.449,148
149,12664.748046875,12575.449,149
150,12458.48828125,12575.449,150
151,12544.875,12575.449,151
152,12934.20703125,12575.449,152
153,11263.107421875,11366.718,153
154,11484.7646484375,11366.718,154
155,12571.103515625,12575.449,155
156,12417.5400390625,12575.449,156
157,12675.6171875,12575.449,157
158,12663.140625,12575.449,158
159,11405.80859375,11366.718,159
160,11268.9521484375,11366.718,160
161,12558.9423828125,12575.449,161
162,12302.7646484375,12575.449,162
163,12698.6474609375,12575.449,163
164,12449.27734375,12575.449,164
165,13970.7626953125,13784.182,165
166,13981.1513671875,13784.182,166
167,13958.5537109375,13784.182,167
168,13931.5830078125,13784.182,168
169,13581.474609375,13784.182,169
170,13799.7705078125,13784.182,170
171,13596.294921875,13784.182,171
172,14860.228515625,14992.914,172
173,16258.236328125,16201.6455,173
174,16051.103515625,16201.6455,174
175,16349.671875,16201.6455,175
176,16564.123046875,16201.6455,176
177,16339.01953125,16201.6455,177
