,N10_bins,N10_measured,N10_model,N20_bins,N20_measured,N20_model
0,8760.470703125,0.0005,0.00013354907,12508.841796875,0.00025,0.00014390542
1,8772.355716705322,0.00025,0.00014213251,12528.464876461028,0.0,0.00014667746
2,8784.240730285645,0.00025,0.0001519699,12548.087956047058,0.00025,0.00014849639
3,8796.125743865967,0.00025,0.00016304295,12567.711035633087,0.00025,0.00014925118
4,8808.010757446289,0.0,0.00017524688,12587.334115219117,0.00025,0.0001488893
5,8819.895771026611,0.0,0.00018841863,12606.957194805145,0.0,0.0001474354
6,8831.780784606934,0.0,0.00020229444,12626.580274391174,0.0,0.00014498211
7,8843.665798187256,0.00025,0.00021657452,12646.203353977204,0.0,0.00014168063
8,8855.550811767578,0.0005,0.00023087146,12665.826433563232,0.0,0.00013773052
9,8867.4358253479,0.00075,0.00024476726,12685.449513149262,0.0,0.000133349
10,8879.320838928223,0.0005,0.0002577617,12705.07259273529,0.0,0.00012876261
11,8891.205852508545,0.00025,0.000269427,12724.695672321319,0.0,0.00012418244
12,8903.090866088867,0.001,0.00027929974,12744.318751907349,0.0,0.00011978944
13,8914.97587966919,0.0005,0.00028702794,12763.941831493377,0.0,0.00011572775
14,8926.860893249512,0.00025,0.00029221887,12783.564911079407,0.0,0.000112094385
15,8938.745906829834,0.00025,0.0002947117,12803.187990665436,0.0,0.00010894222
16,8950.630920410156,0.0,0.0002943833,12822.811070251464,0.0,0.000106288884
17,8962.515933990479,0.0,0.00029126456,12842.434149837494,0.0,0.000104117826
18,8974.4009475708,0.001,0.00028542962,12862.057229423523,0.0,0.000102388825
19,8986.285961151123,0.0,0.00027719905,12881.680309009553,0.0,0.00010104807
20,8998.170974731445,0.00075,0.00026686752,12901.303388595581,0.0,0.000100035126
21,9010.055988311768,0.00075,0.00025486364,12920.92646818161,0.0,9.928899e-05
22,9021.94100189209,0.00075,0.00024159756,12940.54954776764,0.0,9.8753204e-05
23,9033.826015472412,0.0,0.00022757944,12960.172627353668,0.0,9.8377604e-05
24,9045.711029052734,0.0005,0.00021324918,12979.795706939698,0.0,9.812081e-05
25,9057.596042633057,0.00025,0.00019903385,12999.418786525726,0.0,9.794934e-05
26,9069.481056213379,0.00025,0.00018528788,13019.041866111755,0.0,9.7837685e-05
27,9081.366069793701,0.0,0.00017232637,13038.664945697785,0.0,9.776666e-05
28,9093.251083374023,0.00025,0.00016037235,13058.288025283813,0.0,9.7722696e-05
29,9105.136096954346,0.0005,0.00014958301,13077.911104869843,0.0,9.769636e-05
30,9117.021110534668,0.0,0.0001400281,13097.534184455872,0.0,9.7681455e-05
31,9128.90612411499,0.0,0.00013173856,13117.1572640419,0.0,9.767409e-05
