,true_n,n,posterior
295,26,10,0.0
296,27,10,0.0
297,28,10,0.0
298,29,10,0.0
299,30,10,0.0
300,1,11,1.572205e-19
301,2,11,2.1874602e-20
302,3,11,2.1600886e-16
303,4,11,2.4565631e-17
304,5,11,2.3605672e-26
305,6,11,1.3854064e-13
306,7,11,6.8776025e-08
307,8,11,4.7419553e-06
308,9,11,0.0063283048
309,10,11,0.18569855
310,11,11,0.5954946
311,12,11,0.18049137
312,13,11,3.47452e-40
313,14,11,0.0
314,15,11,0.0
315,16,11,0.0
316,17,11,0.0
317,18,11,0.0
318,19,11,0.0
319,20,11,0.0
320,21,11,0.0
321,22,11,0.0
322,23,11,0.0
323,24,11,0.0
324,25,11,0.0
325,26,11,0.0
326,27,11,0.0
327,28,11,0.0
328,29,11,0.0
329,30,11,0.0
330,1,12,2.2756612e-19
331,2,12,1.0550112e-20
332,3,12,1.9041068e-16
333,4,12,5.112896e-16
334,5,12,6.26984e-23
335,6,12,2.7003812e-17
336,7,12,7.618395e-10
337,8,12,7.752971e-07
338,9,12,3.6419275e-05
339,10,12,0.007713289
340,11,12,0.20765121
341,12,12,0.5984307
342,13,12,0.01005095
343,14,12,3.78935e-13
344,15,12,0.0
345,16,12,0.0
346,17,12,0.0
347,18,12,0.0
348,19,12,0.0
349,20,12,0.0
350,21,12,0.0
351,22,12,0.0
352,23,12,0.0
353,24,12,0.0
354,25,12,0.0
355,26,12,0.0
356,27,12,0.0
357,28,12,0.0
358,29,12,0.0
359,30,12,0.0
360,1,13,1.2260846e-19
361,2,13,7.852905e-21
362,3,13,3.317454e-17
363,4,13,1.3790136e-17
364,5,13,1.2787561e-20
365,6,13,3.6281237e-25
366,7,13,1.5943039e-12
367,8,13,1.864051e-08
368,9,13,1.3835104e-06
369,10,13,0.0002191281
370,11,13,0.0766816
371,12,13,0.17202142
372,13,13,0.5316331
373,14,13,0.35436946
374,15,13,0.006093849
375,16,13,2.51e-43
376,17,13,0.0
377,18,13,0.0
378,19,13,0.0
379,20,13,0.0
380,21,13,0.0
381,22,13,0.0
382,23,13,0.0
383,24,13,0.0
384,25,13,0.0
385,26,13,0.0
386,27,13,0.0
387,28,13,0.0
388,29,13,0.0
389,30,13,0.0
390,1,14,1.5110589e-19
391,2,14,5.331587e-21
392,3,14,8.5704865e-17
393,4,14,2.0430405e-15
394,5,14,5.211792e-19
395,6,14,1.5019881e-22
396,7,14,1.1135692e-16
397,8,14,1.9484651e-10
398,9,14,1.8777072e-07
399,10,14,1.6782202e-05
400,11,14,0.021217894
401,12,14,0.048047516
402,13,14,0.38197914
403,14,14,0.48096067
