,trace,fit,frames
175,17468.017578125,17416.168,175
176,17393.0,17416.168,176
177,17615.986328125,17416.168,177
178,18441.76953125,18624.963,178
179,18647.93359375,18624.963,179
180,18739.201171875,18624.963,180
181,18412.86328125,18624.963,181
182,17298.0390625,17416.168,182
183,18742.03515625,18624.963,183
184,18750.65625,18624.963,184
185,18459.125,18624.963,185
186,18592.3671875,18624.963,186
187,17407.125,17416.168,187
188,17617.95703125,17416.168,188
189,16082.0849609375,16207.371,189
190,16213.8271484375,16207.371,190
191,16152.4677734375,16207.371,191
192,17469.68359375,17416.168,192
193,17443.669921875,17416.168,193
194,17410.1953125,17416.168,194
195,16230.615234375,16207.371,195
196,17402.77734375,17416.168,196
197,21248.16796875,21042.555,197
198,20997.51953125,21042.555,198
199,21252.931640625,21042.555,199
200,21036.984375,21042.555,200
201,20636.15625,21042.555,201
202,21025.283203125,21042.555,202
203,20689.119140625,21042.555,203
204,22452.32421875,22251.352,204
205,20874.78515625,21042.555,205
206,19691.966796875,19833.758,206
207,19781.4921875,19833.758,207
208,20017.767578125,19833.758,208
209,21088.857421875,21042.555,209
210,19749.74609375,19833.758,210
211,20071.984375,19833.758,211
212,20920.01953125,21042.555,212
213,21164.66796875,21042.555,213
214,20988.755859375,21042.555,214
215,22079.220703125,22251.352,215
216,21838.228515625,22251.352,216
217,23246.275390625,23460.148,217
218,24353.662109375,24668.943,218
219,23396.076171875,23460.148,219
220,24777.349609375,24668.943,220
221,24711.83203125,24668.943,221
222,24559.373046875,24668.943,222
223,25023.060546875,24668.943,223
224,26815.103515625,27086.535,224
225,27089.083984375,27086.535,225
226,27022.59375,27086.535,226
227,26644.623046875,27086.535,227
228,25599.70703125,25877.738,228
229,26355.142578125,25877.738,229
230,27296.46875,27086.535,230
231,26999.583984375,27086.535,231
232,28329.025390625,28295.332,232
233,28731.724609375,28295.332,233
234,28067.919921875,28295.332,234
235,28565.58203125,28295.332,235
236,27001.4140625,27086.535,236
237,27266.314453125,27086.535,237
238,26043.22265625,25877.738,238
239,25805.458984375,25877.738,239
240,26095.37109375,25877.738,240
241,26708.283203125,27086.535,241
242,25771.341796875,25877.738,242
243,26169.955078125,25877.738,243
244,24824.14453125,24668.943,244
245,23442.107421875,23460.148,245
246,24504.8359375,24668.943,246
247,26357.654296875,25877.738,247
248,24681.833984375,24668.943,248
249,24697.71875,24668.943,249
250,24494.0703125,24668.943,250
251,24566.6796875,24668.943,251
252,24622.673828125,24668.943,252
253,26217.109375,25877.738,253
254,23824.736328125,23460.148,254
255,22571.048828125,22251.352,255
256,22241.822265625,22251.352,256
257,22899.0078125,23460.148,257
258,23371.671875,23460.148,258
259,22268.60546875,22251.352,259
