,n4_prob,n1_prob,n
0,0.0,0.85564595,1
1,0.018169956,0.13147135,2
2,0.22252262,0.01118416,3
3,0.60733324,0.00089159573,4
4,0.086832315,0.00035416623,5
5,0.030374087,0.00023073681,6
6,0.020459298,0.00011528079,7
7,0.014308266,0.000106787294,8
