,posterior_1,posterior_4,n
0,1.0,0.0,1
1,3.4095315e-13,0.0,2
2,1.0373547e-16,0.0,3
3,3.7199834e-18,0.99993527,4
4,4.0690669e-19,6.452214e-05,5
5,6.300412e-21,1.7634105e-07,6
6,9.8747716e-20,3.880692e-09,7
7,1.5994673e-20,2.7353378e-10,8
