,N1_good_bins,N1_good_measured,N1_good_model,N1_bad_bins,N1_bad_measured,N1_bad_model,N4_good_bins,N4_good_measured,N4_good_model,N4_bad_bins,N4_bad_measured,N4_bad_model
33,7490.4439453125,0.00025,0.00011393545,7490.4439453125,0.00025,0.00011393545,5828.70498046875,0.00025,0.00018629762,5828.70498046875,0.00025,0.00018629762
34,7494.83935546875,0.0,0.00011709367,7494.83935546875,0.0,0.00011709367,5831.755126953125,0.00025,0.00019529932,5831.755126953125,0.00025,0.00019529932
35,7499.234765625,0.0005,0.00012080444,7499.234765625,0.0005,0.00012080444,5834.8052734375,0.0,0.00020494442,5834.8052734375,0.0,0.00020494442
36,7503.63017578125,0.0,0.00012514976,7503.63017578125,0.0,0.00012514976,5837.855419921875,0.0,0.00021520045,5837.855419921875,0.0,0.00021520045
37,7508.0255859375,0.001,0.00013022553,7508.0255859375,0.001,0.00013022553,5840.90556640625,0.00025,0.00022606876,5840.90556640625,0.00025,0.00022606876
38,7512.42099609375,0.0,0.00013614535,7512.42099609375,0.0,0.00013614535,5843.955712890625,0.0,0.00023751991,5843.955712890625,0.0,0.00023751991
39,7516.81640625,0.0,0.00014301692,7516.81640625,0.0,0.00014301692,5847.005859375,0.00025,0.0002496162,5847.005859375,0.00025,0.0002496162
40,7521.21181640625,0.0005,0.00015097696,7521.21181640625,0.0005,0.00015097696,5850.056005859375,0.00025,0.00026225744,5850.056005859375,0.00025,0.00026225744
41,7525.6072265625,0.00025,0.00016016558,7525.6072265625,0.00025,0.00016016558,5853.10615234375,0.0,0.00027543155,5853.10615234375,0.0,0.00027543155
42,7530.00263671875,0.00025,0.00017074656,7530.00263671875,0.00025,0.00017074656,5856.156298828125,0.0,0.0002891758,5856.156298828125,0.0,0.0002891758
43,7534.398046875,0.00125,0.00018291251,7534.398046875,0.00125,0.00018291251,5859.2064453125,0.0,0.0003033684,5859.2064453125,0.0,0.0003033684
44,7538.79345703125,0.001,0.00019683188,7538.79345703125,0.001,0.00019683188,5862.256591796875,0.00025,0.00031798688,5862.256591796875,0.00025,0.00031798688
45,7543.1888671875,0.0005,0.00021272508,7543.1888671875,0.0005,0.00021272508,5865.30673828125,0.0,0.00033293798,5865.30673828125,0.0,0.00033293798
46,7547.58427734375,0.00025,0.00023081608,7547.58427734375,0.00025,0.00023081608,5868.356884765625,0.0005,0.00034826982,5868.356884765625,0.0005,0.00034826982
47,7551.9796875,0.00025,0.0002513301,7551.9796875,0.00025,0.0002513301,5871.40703125,0.0,0.0003638264,5871.40703125,0.0,0.0003638264
48,7556.37509765625,0.001,0.0002745748,7556.37509765625,0.001,0.0002745748,5874.457177734375,0.00025,0.00037948988,5874.457177734375,0.00025,0.00037948988
49,7560.7705078125,0.0005,0.00030080663,7560.7705078125,0.0005,0.00030080663,5877.50732421875,0.0005,0.00039533534,5877.50732421875,0.0005,0.00039533534
50,7565.16591796875,0.00175,0.0003303049,7565.16591796875,0.00175,0.0003303049,5880.557470703125,0.0,0.00041113427,5880.557470703125,0.0,0.00041113427
51,7569.561328125,0.001,0.00036339567,7569.561328125,0.001,0.00036339567,5883.6076171875,0.0005,0.0004267774,5883.6076171875,0.0005,0.0004267774
52,7573.95673828125,0.0005,0.00040036195,7573.95673828125,0.0005,0.00040036195,5886.657763671875,0.0,0.0004423516,5886.657763671875,0.0,0.0004423516
53,7578.3521484375,0.00075,0.0004416543,7578.3521484375,0.00075,0.0004416543,5889.70791015625,0.0,0.0004575645,5889.70791015625,0.0,0.0004575645
54,7582.74755859375,0.00175,0.0004874955,7582.74755859375,0.00175,0.0004874955,5892.758056640625,0.0,0.0004723548,5892.758056640625,0.0,0.0004723548
55,7587.14296875,0.0005,0.00053834653,7587.14296875,0.0005,0.00053834653,5895.808203125,0.0007500000000000001,0.00048677283,5895.808203125,0.0007500000000000001,0.00048677283
56,7591.53837890625,0.0025,0.0005945013,7591.53837890625,0.0025,0.0005945013,5898.858349609375,0.00025,0.0005005359,5898.858349609375,0.00025,0.0005005359
57,7595.9337890625,0.00175,0.0006562865,7595.9337890625,0.00175,0.0006562865,5901.90849609375,0.00025,0.0005135909,5901.90849609375,0.00025,0.0005135909
58,7600.32919921875,0.0017499999999999998,0.0007242666,7600.32919921875,0.0017499999999999998,0.0007242666,5904.958642578125,0.00025,0.0005258379,5904.958642578125,0.00025,0.0005258379
59,7604.724609375,0.0012499999999999998,0.00079856516,7604.724609375,0.0012499999999999998,0.00079856516,5908.0087890625,0.00025,0.0005372796,5908.0087890625,0.00025,0.0005372796
60,7609.12001953125,0.0024999999999999996,0.000879729,7609.12001953125,0.0024999999999999996,0.000879729,5911.058935546875,0.0,0.0005477354,5911.058935546875,0.0,0.0005477354
61,7613.5154296875,0.0015,0.0009679636,7613.5154296875,0.0015,0.0009679636,5914.10908203125,0.0005,0.00055703655,5914.10908203125,0.0005,0.00055703655
62,7617.91083984375,0.0024999999999999996,0.0010635081,7617.91083984375,0.0024999999999999996,0.0010635081,5917.159228515625,0.00025,0.00056537444,5917.159228515625,0.00025,0.00056537444
63,7622.30625,0.00225,0.0011670114,7622.30625,0.00225,0.0011670114,5920.209375,0.00075,0.00057241495,5920.209375,0.00075,0.00057241495
64,7626.70166015625,0.0024999999999999996,0.0012783867,7626.70166015625,0.0024999999999999996,0.0012783867,5923.259521484375,0.00025,0.00057824614,5923.259521484375,0.00025,0.00057824614
65,7631.0970703125,0.00325,0.0013978786,7631.0970703125,0.00325,0.0013978786,5926.30966796875,0.0,0.0005826667,5926.30966796875,0.0,0.0005826667
66,7635.49248046875,0.00225,0.0015259198,7635.49248046875,0.00225,0.0015259198,5929.359814453125,0.0,0.0005859216,5929.359814453125,0.0,0.0005859216
67,7639.887890625,0.00175,0.0016621796,7639.887890625,0.00175,0.0016621796,5932.4099609375,0.0,0.0005877251,5932.4099609375,0.0,0.0005877251
