,N10_bins,N10_measured,N10_model,N20_bins,N20_measured,N20_model
0,7469.068359375,0.0005,0.00023512729,7400.39111328125,0.00025,0.00010518894
1,7473.688463115692,0.00025,0.00025993618,7406.0761058807375,0.0,0.00010740818
2,7478.3085668563845,0.0,0.00028865368,7411.761098480225,0.0,0.00011022434
3,7482.928670597076,0.00025,0.0003217817,7417.446091079712,0.0,0.00011377991
4,7487.548774337769,0.00075,0.00035987052,7423.131083679199,0.0,0.00011825039
5,7492.168878078461,0.0,0.00040352016,7428.8160762786865,0.0,0.00012384041
6,7496.7889818191525,0.0005,0.00045337385,7434.501068878174,0.0,0.00013079798
7,7501.409085559845,0.001,0.0005101166,7440.1860614776615,0.0,0.00013941566
8,7506.029189300537,0.0005,0.0005744884,7445.871054077148,0.0,0.00015003659
9,7510.64929304123,0.00075,0.0006472631,7451.556046676636,0.0,0.00016306259
10,7515.269396781921,0.0005,0.00072925544,7457.241039276123,0.00025,0.00017895982
11,7519.889500522613,0.00125,0.0008213132,7462.9260318756105,0.00025,0.00019825516
12,7524.509604263306,0.00175,0.0009243292,7468.611024475098,0.0,0.00022159227
13,7529.129708003998,0.001,0.0010391853,7474.296017074585,0.0005,0.0002496409
14,7533.74981174469,0.00075,0.0011668073,7479.981009674072,0.0,0.0002831991
15,7538.369915485382,0.00075,0.0013082518,7485.66600227356,0.00075,0.00032314475
16,7542.990019226074,0.0014999999999999998,0.0014640191,7491.350994873047,0.00125,0.00037045375
17,7547.6101229667665,0.0015,0.0016353867,7497.0359874725345,0.0,0.00042620365
18,7552.230226707458,0.00175,0.0018228793,7502.720980072021,0.00025,0.0004915201
19,7556.850330448151,0.00125,0.0020279265,7508.405972671509,0.00075,0.00056778267
20,7561.470434188843,0.00325,0.002250655,7514.090965270996,0.0,0.00065623515
21,7566.090537929535,0.0025,0.00249194,7519.775957870484,0.00025,0.00075833494
22,7570.710641670227,0.0037500000000000003,0.0027523076,7525.460950469971,0.0007500000000000001,0.00087557815
23,7575.330745410919,0.00325,0.0030322534,7531.145943069458,0.00025,0.0010094907
24,7579.950849151612,0.005,0.0033320126,7536.830935668945,0.00125,0.001161645
25,7584.5709528923035,0.00475,0.0036517913,7542.515928268433,0.0015,0.0013334693
26,7589.191056632995,0.0035,0.0039915536,7548.20092086792,0.002,0.0015268266
27,7593.811160373688,0.00675,0.004351046,7553.885913467408,0.00125,0.0017428523
28,7598.43126411438,0.0045,0.004729907,7559.570906066894,0.00175,0.0019829972
29,7603.051367855072,0.0045,0.00512747,7565.255898666382,0.00125,0.0022484416
30,7607.671471595764,0.005749999999999999,0.0055428986,7570.940891265869,0.00275,0.0025403327
31,7612.291575336456,0.00775,0.00597504,7576.625883865357,0.0035,0.002859062
32,7616.911679077149,0.0065,0.006422569,7582.310876464844,0.0032500000000000003,0.003205444
33,7621.53178281784,0.00875,0.0068839057,7587.995869064331,0.003,0.0035791816
34,7626.151886558533,0.007,0.0073571918,7593.680861663818,0.00375,0.0039809714
35,7630.771990299225,0.0095,0.007840287,7599.365854263306,0.00425,0.0044092713
36,7635.392094039917,0.010499999999999999,0.00833101,7605.050846862793,0.0065,0.004863188
37,7640.012197780609,0.01,0.008826692,7610.735839462281,0.0085,0.0053411773
38,7644.632301521301,0.00925,0.009324605,7616.420832061767,0.0045,0.0058410647
39,7649.252405261994,0.012,0.00982191,7622.105824661255,0.008749999999999999,0.006360269
40,7653.872509002686,0.01125,0.010315435,7627.790817260742,0.00825,0.006894956
41,7658.492612743377,0.017249999999999998,0.010802051,7633.47580986023,0.007,0.007443433
42,7663.11271648407,0.01375,0.011278348,7639.160802459717,0.012000000000000002,0.007999629
43,7667.732820224762,0.013,0.0117410775,7644.845795059204,0.009250000000000001,0.008559642
44,7672.3529239654545,0.014,0.0121868495,7650.530787658691,0.008749999999999999,0.009118519
45,7676.973027706146,0.01275,0.012612206,7656.215780258179,0.0105,0.009670888
46,7681.593131446838,0.01875,0.013013985,7661.900772857666,0.012750000000000001,0.010211311
47,7686.213235187531,0.016,0.013388877,7667.585765457154,0.0125,0.01073412
48,7690.8333389282225,0.0155,0.013733921,7673.27075805664,0.012499999999999997,0.011232382
49,7695.453442668915,0.015499999999999998,0.014046197,7678.955750656128,0.013749999999999998,0.011703664
