,trace,fit,frames
0,7561.1181640625,7730.6006,0
1,7633.9296875,7730.6006,1
2,7753.107421875,7730.6006,2
3,7692.95068359375,7730.6006,3
4,7719.35546875,7730.6006,4
5,7666.3330078125,7730.6006,5
6,7910.65771484375,7730.6006,6
7,7671.42333984375,7730.6006,7
8,7825.52392578125,7730.6006,8
9,7748.4619140625,7730.6006,9
10,7763.8134765625,7730.6006,10
11,7723.7587890625,7730.6006,11
12,7598.63525390625,7730.6006,12
13,7582.47314453125,7730.6006,13
14,7674.7060546875,7730.6006,14
15,7690.38232421875,7730.6006,15
16,7900.85009765625,7730.6006,16
17,7811.0390625,7730.6006,17
18,7828.0908203125,7730.6006,18
19,7817.76416015625,7730.6006,19
20,7617.880859375,7730.6006,20
21,7612.5322265625,7730.6006,21
22,7836.33251953125,7730.6006,22
23,7776.794921875,7730.6006,23
24,7658.9580078125,7730.6006,24
25,7833.82080078125,7730.6006,25
26,7592.22607421875,7730.6006,26
27,7693.755859375,7730.6006,27
28,7528.919921875,7730.6006,28
29,7644.41845703125,7730.6006,29
30,7689.4638671875,7730.6006,30
31,7685.4013671875,7730.6006,31
32,7658.57421875,7730.6006,32
33,7754.29248046875,7730.6006,33
34,7639.767578125,7730.6006,34
35,7646.4326171875,7730.6006,35
36,7633.4873046875,7730.6006,36
37,7791.8974609375,7730.6006,37
38,7800.0673828125,7730.6006,38
39,7816.8388671875,7730.6006,39
40,7757.794921875,7730.6006,40
41,7632.93798828125,7730.6006,41
42,7796.671875,7730.6006,42
43,7745.1259765625,7730.6006,43
44,7661.19921875,7730.6006,44
45,7577.412109375,7730.6006,45
46,7716.955078125,7730.6006,46
47,7793.033203125,7730.6006,47
48,7803.1943359375,7730.6006,48
49,7829.2822265625,7730.6006,49
50,7637.4580078125,7730.6006,50
51,7899.61279296875,7730.6006,51
52,7723.95703125,7730.6006,52
53,7777.25146484375,7730.6006,53
54,7714.0439453125,7730.6006,54
55,7718.80517578125,7730.6006,55
56,7756.4794921875,7730.6006,56
57,7787.1962890625,7730.6006,57
58,7778.904296875,7730.6006,58
59,8897.8515625,8941.461,59
60,7806.5888671875,7730.6006,60
61,7922.5224609375,7730.6006,61
62,7635.2236328125,7730.6006,62
63,7788.68359375,7730.6006,63
64,7682.498046875,7730.6006,64
65,7836.3623046875,7730.6006,65
66,7780.28271484375,7730.6006,66
67,7789.291015625,7730.6006,67
68,7613.333984375,7730.6006,68
69,7748.9140625,7730.6006,69
70,7693.974609375,7730.6006,70
71,7665.8505859375,7730.6006,71
72,7703.8818359375,7730.6006,72
73,7806.052734375,7730.6006,73
74,7756.89599609375,7730.6006,74
75,7747.1884765625,7730.6006,75
76,7719.35546875,7730.6006,76
77,7808.146484375,7730.6006,77
78,7768.0419921875,7730.6006,78
79,7618.0966796875,7730.6006,79
80,7756.48486328125,7730.6006,80
81,7666.4248046875,7730.6006,81
82,7788.08740234375,7730.6006,82
83,7664.6689453125,7730.6006,83
84,7584.3056640625,7730.6006,84
85,7651.998046875,7730.6006,85
86,7729.8505859375,7730.6006,86
87,7805.224609375,7730.6006,87
88,7895.5947265625,7730.6006,88
89,7784.3701171875,7730.6006,89
90,7687.79296875,7730.6006,90
91,7639.89453125,7730.6006,91
92,7772.9609375,7730.6006,92
93,7730.736328125,7730.6006,93
94,7649.36865234375,7730.6006,94
95,7612.13818359375,7730.6006,95
96,7623.0537109375,7730.6006,96
97,7868.634765625,7730.6006,97
98,7631.9853515625,7730.6006,98
99,7729.14453125,7730.6006,99
100,7767.7548828125,7730.6006,100
101,7660.09814453125,7730.6006,101
102,7855.1171875,7730.6006,102
103,7771.9140625,7730.6006,103
104,7776.7431640625,7730.6006,104
105,7651.2685546875,7730.6006,105
106,7929.796875,7730.6006,106
107,7578.2490234375,7730.6006,107
108,7498.64697265625,7730.6006,108
109,7685.55810546875,7730.6006,109
110,7627.25341796875,7730.6006,110
111,7870.1650390625,7730.6006,111
112,7743.07421875,7730.6006,112
113,7906.02734375,7730.6006,113
114,7677.74560546875,7730.6006,114
115,7795.68408203125,7730.6006,115
