,n_true,n_fit,posterior
274,5,10,2.6306535e-16
275,6,10,7.040171e-08
276,7,10,0.00039794383
277,8,10,0.014209582
278,9,10,0.2483984
279,10,10,0.4687282
280,11,10,0.28338242
281,12,10,0.07773543
282,13,10,0.00019593723
283,14,10,0.0008313097
284,15,10,8.04531e-09
285,16,10,3.142154e-13
286,17,10,1.945418e-17
287,18,10,8.68158e-18
288,19,10,6.95199e-22
289,20,10,8.308629e-29
290,21,10,7.2975545e-31
291,22,10,5.3038344e-37
292,23,10,0.0
293,24,10,0.0
294,25,10,0.0
295,26,10,0.0
296,27,10,0.0
297,28,10,0.0
298,29,10,0.0
299,30,10,0.0
300,1,11,0.0
301,2,11,0.0
302,3,11,4.5354125e-35
303,4,11,2.1955123e-24
304,5,11,2.2391674e-21
305,6,11,2.3282534e-11
306,7,11,1.20985e-06
307,8,11,0.00023768909
308,9,11,0.02387654
309,10,11,0.2028852
310,11,11,0.45236072
311,12,11,0.24792555
312,13,11,0.022451991
313,14,11,0.01956624
314,15,11,1.5262778e-05
315,16,11,7.8233535e-09
316,17,11,4.651252e-12
317,18,11,2.7559736e-12
318,19,11,1.5657579e-15
319,20,11,3.179091e-21
320,21,11,8.789494e-24
321,22,11,7.216613e-29
322,23,11,1.29781e-40
323,24,11,1.93e-42
324,25,11,0.0
325,26,11,0.0
326,27,11,0.0
327,28,11,0.0
328,29,11,0.0
329,30,11,0.0
330,1,12,0.0
331,2,12,0.0
332,3,12,1.0675e-41
333,4,12,3.6008977e-30
334,5,12,6.849092e-27
335,6,12,2.0091605e-15
336,7,12,1.5821332e-09
337,8,12,6.474519e-07
338,9,12,0.0007124119
339,10,12,0.027276013
340,11,12,0.21039549
341,12,12,0.40278205
342,13,12,0.21209832
343,14,12,0.13788281
344,15,12,0.0031111843
345,16,12,1.3889886e-05
346,17,12,3.3385042e-08
347,18,12,2.3138963e-08
348,19,12,6.502003e-11
349,20,12,1.4830068e-15
350,21,12,6.509938e-18
351,22,12,1.1791383e-21
352,23,12,9.098248e-30
353,24,12,1.146504e-33
354,25,12,5.7e-44
355,26,12,0.0
356,27,12,3.8511e-38
357,28,12,0.0
358,29,12,0.0
359,30,12,0.0
360,1,13,0.0
361,2,13,0.0
362,3,13,0.0
363,4,13,3.9022814e-36
364,5,13,1.3499546e-32
365,6,13,8.178809e-20
366,7,13,5.364089e-13
367,8,13,1.4442965e-09
368,9,13,5.037169e-06
369,10,13,0.0011192884
370,11,13,0.028625825
371,12,13,0.23087907
372,13,13,0.37335402
373,14,13,0.35402483
374,15,13,0.06029139
375,16,13,0.0025183922
376,17,13,3.1401192e-05
377,18,13,1.8668215e-05
378,19,13,1.3014082e-07
379,20,13,2.0291147e-11
380,21,13,4.918873e-13
381,22,13,2.877512e-16
382,23,13,4.090203e-25
383,24,13,3.215622e-27
384,25,13,3.9199537e-36
385,26,13,9.57558e-39
386,27,13,2.1776885e-30
387,28,13,0.0
388,29,13,0.0
389,30,13,0.0
390,1,14,0.0
391,2,14,0.0
392,3,14,0.0
393,4,14,3.527e-42
394,5,14,1.9481448e-38
395,6,14,1.9279906e-24
396,7,14,7.0925616e-17
397,8,14,6.1271604e-13
398,9,14,1.045629e-08
399,10,14,1.32673495e-05
400,11,14,0.0009886781
401,12,14,0.03601262
402,13,14,0.29358226
403,14,14,0.31341425
404,15,14,0.25613418
405,16,14,0.038234554
406,17,14,0.0023887097
407,18,14,0.0019200916
408,19,14,3.705634e-05
409,20,14,3.2180104e-08
410,21,14,3.3277032e-09
411,22,14,1.6919766e-14
412,23,14,3.386832e-18
413,24,14,1.4431471e-20
414,25,14,9.910856e-29
415,26,14,1.6416864e-30
416,27,14,5.3788796e-24
417,28,14,2.2666e-41
418,29,14,6e-44
419,30,14,0.0
420,1,15,0.0
421,2,15,0.0
422,3,15,0.0
