,N4_trace_good,N4_fit_good,N4_trace_bad,N4_fit_bad,frames
153,8410,8206.367,6719,6807.3857,153
154,8397,8206.367,6903,6807.3857,154
155,8352,8206.367,6917,6807.3857,155
156,7438,6979.259,7094,7275.607,156
157,7254,6979.259,7198,7275.607,157
158,7127,6979.259,7350,7275.607,158
159,7136,6979.259,7322,7275.607,159
160,7229,6979.259,7243,7275.607,160
161,6997,6979.259,7410,7275.607,161
162,7250,6979.259,7313,7275.607,162
163,6983,6979.259,7363,7275.607,163
164,7081,6979.259,7543,7275.607,164
165,7040,6979.259,7657,7275.607,165
166,7077,6979.259,7357,7275.607,166
167,8016,8206.367,7489,7275.607,167
168,8328,8206.367,7397,7275.607,168
169,8215,8206.367,7194,7275.607,169
170,9366,9433.476,6721,6807.3857,170
171,9475,9433.476,6745,6807.3857,171
172,9657,9433.476,6695,6807.3857,172
173,9441,9433.476,6780,6807.3857,173
174,9528,9433.476,6761,6807.3857,174
175,9531,9433.476,6780,6807.3857,175
176,9498,9433.476,6846,6807.3857,176
177,9286,9433.476,6693,6807.3857,177
178,9752,9433.476,6682,6807.3857,178
179,9374,9433.476,6772,6807.3857,179
180,8185,8206.367,6746,6807.3857,180
181,8273,8206.367,6503,6807.3857,181
182,8185,8206.367,6819,6807.3857,182
183,8313,8206.367,6849,6807.3857,183
184,8153,8206.367,6719,6807.3857,184
185,8329,8206.367,7046,7275.607,185
186,8234,8206.367,7295,7275.607,186
187,8364,8206.367,7344,7275.607,187
188,8310,8206.367,7300,7275.607,188
189,8110,8206.367,7092,7275.607,189
190,8257,8206.367,7255,7275.607,190
191,9372,9433.476,7380,7275.607,191
192,9149,9433.476,7317,7275.607,192
193,8268,8206.367,7277,7275.607,193
194,7780,6979.259,7194,7275.607,194
195,7059,6979.259,7144,7275.607,195
196,6861,6979.259,7252,7275.607,196
197,7046,6979.259,7464,7275.607,197
198,7077,6979.259,7299,7275.607,198
199,7083,6979.259,7344,7275.607,199
200,7017,6979.259,7425,7275.607,200
201,7006,6979.259,7134,7275.607,201
202,8618,6979.259,7352,7275.607,202
203,8892,6979.259,7260,7275.607,203
204,8382,8206.367,7350,7275.607,204
205,10543,10660.584,7184,7275.607,205
206,11175,10660.584,7527,7275.607,206
207,10859,10660.584,7322,7275.607,207
208,11081,10660.584,7240,7275.607,208
209,10863,10660.584,7310,7275.607,209
210,10980,10660.584,7318,7275.607,210
211,10696,10660.584,7205,7275.607,211
212,11315,10660.584,7399,7275.607,212
213,10871,10660.584,7319,7275.607,213
214,10449,10660.584,7427,7275.607,214
215,9710,10660.584,7292,7275.607,215
216,10588,10660.584,7340,7275.607,216
217,11001,10660.584,7178,7275.607,217
218,10732,10660.584,7109,7275.607,218
219,11066,10660.584,6986,6807.3857,219
220,10177,10660.584,6893,6807.3857,220
221,9538,9433.476,6773,6807.3857,221
222,9625,9433.476,6847,6807.3857,222
223,9630,9433.476,6916,6807.3857,223
224,9638,9433.476,6782,6807.3857,224
225,9291,9433.476,6788,6807.3857,225
226,9576,9433.476,6800,6807.3857,226
227,9325,9433.476,6850,6807.3857,227
228,9389,9433.476,6844,6807.3857,228
229,9403,9433.476,6849,6807.3857,229
230,9352,9433.476,6813,6807.3857,230
231,9619,9433.476,6981,6807.3857,231
232,9651,9433.476,6965,6807.3857,232
233,9620,9433.476,6852,6807.3857,233
234,9559,9433.476,6778,6807.3857,234
235,9443,9433.476,6382,6339.1646,235
