,qpaint_bins,qpaint_measured,qpaint_model,lbfcs_bins,lbfcs_measured,lbfcs_model
0,7406.4892578125,0.00025,0.000110146815,8756.837890625,0.00025,0.00013941825
1,7412.269646644592,0.0,0.0001138042,8769.102938461303,0.0,0.0001493732
2,7418.050035476685,0.0,0.00011843354,8781.367986297608,0.0,0.0001607136
3,7423.830424308777,0.0,0.00012426537,8793.63303413391,0.00025,0.00017338061
4,7429.610813140869,0.0,0.00013157139,8805.898081970216,0.0,0.00018718984
5,7435.391201972961,0.0,0.00014068937,8818.163129806519,0.0,0.00020191063
6,7441.171590805054,0.0,0.0001520004,8830.428177642822,0.0,0.00021720595
7,7446.951979637146,0.0,0.00016595662,8842.693225479126,0.0,0.00023264237
8,7452.732368469238,0.0,0.00018311208,8854.95827331543,0.00025,0.0002477671
9,7458.512757301331,0.0,0.00020405867,8867.223321151734,0.0,0.00026201166
10,7464.293146133423,0.00025,0.00022955879,8879.488368988037,0.0,0.00027487768
11,7470.073534965515,0.00025,0.00026034834,8891.75341682434,0.0,0.0002858532
12,7475.853923797607,0.00025,0.0002974401,8904.018464660645,0.0,0.0002944257
13,7481.6343126297,0.0,0.00034180153,8916.283512496948,0.0005,0.00030027665
14,7487.414701461792,0.0005,0.00039470376,8928.548560333253,0.00025,0.00030310158
15,7493.195090293884,0.0,0.00045725206,8940.813608169556,0.0,0.00030281476
16,7498.975479125977,0.00025,0.0005310552,8953.078656005859,0.0,0.00029936896
17,7504.755867958069,0.0005,0.0006174704,8965.343703842163,0.0,0.0002929724
18,7510.536256790161,0.00025,0.0007183274,8977.608751678466,0.0,0.00028391017
19,7516.316645622253,0.00025,0.0008352313,8989.873799514771,0.0005,0.00027252882
20,7522.097034454346,0.0007499999999999999,0.0009699774,9002.138847351074,0.00025,0.00025936632
21,7527.877423286438,0.001,0.0011247172,9014.403895187377,0.0,0.00024488228
22,7533.65781211853,0.0017500000000000003,0.0013010441,9026.668943023682,0.0,0.00022967414
23,7539.438200950623,0.0017500000000000003,0.0015014526,9038.933990859985,0.0,0.00021423616
24,7545.218589782715,0.0007499999999999999,0.0017270151,9051.19903869629,0.00025,0.00019901486
25,7550.998978614807,0.00275,0.0019804926,9063.464086532593,0.0,0.00018445222
26,7556.779367446899,0.0012499999999999998,0.0022628536,9075.729134368896,0.0,0.00017083532
27,7562.559756278992,0.0024999999999999996,0.0025766504,9087.9941822052,0.0,0.000158419
28,7568.340145111084,0.0029999999999999996,0.0029216441,9100.259230041504,0.0,0.00014734408
29,7574.120533943176,0.0045,0.0033004978,9112.524277877808,0.0,0.00013765912
30,7579.900922775269,0.00375,0.0037125794,9124.789325714111,0.0,0.00012937901
31,7585.681311607361,0.00375,0.004159381,9137.054373550414,0.0,0.00012242343
32,7591.461700439453,0.005750000000000001,0.0046397313,9149.31942138672,0.0,0.00011669992
33,7597.242089271545,0.0032500000000000003,0.0051526832,9161.584469223022,0.00025,0.000112076836
34,7603.022478103638,0.0062499999999999995,0.005698385,9173.849517059327,0.0,0.000108407425
35,7608.80286693573,0.006500000000000001,0.0062734764,9186.11456489563,0.0,0.00010555087
36,7614.583255767822,0.0045,0.0068758605,9198.379612731933,0.0,0.00010336364
37,7620.363644599915,0.008,0.0075016036,9210.644660568238,0.0,0.00010172006
38,7626.144033432007,0.0075,0.008148801,9222.90970840454,0.0,0.000100505604
39,7631.924422264099,0.009999999999999998,0.008810201,9235.174756240845,0.0,9.962309e-05
40,7637.704811096191,0.009999999999999998,0.009484507,9247.439804077148,0.0,9.899341e-05
41,7643.485199928284,0.01225,0.0101601975,9259.704851913451,0.0,9.855141e-05
42,7649.265588760376,0.011749999999999998,0.010837038,9271.969899749756,0.0,9.8246244e-05
43,7655.045977592468,0.01125,0.011503942,9284.23494758606,0.0,9.8039e-05
44,7660.826366424561,0.011,0.012157849,9296.499995422364,0.0,9.790067e-05
45,7666.606755256653,0.0135,0.012788705,9308.765043258667,0.0,9.780994e-05
46,7672.387144088745,0.014249999999999999,0.0133889895,9321.03009109497,0.0,9.775119e-05
47,7678.167532920837,0.011749999999999998,0.013955242,9333.295138931275,0.0,9.7714e-05
48,7683.94792175293,0.0175,0.014476946,9345.560186767578,0.0,9.76907e-05
49,7689.728310585022,0.018,0.014948708,9357.825234603883,0.0,9.767632e-05
50,7695.508699417114,0.014499999999999999,0.01536292,9370.090282440186,0.0,9.7667646e-05
51,7701.2890882492065,0.014750000000000001,0.01571837,9382.355330276489,0.0,9.766244e-05
52,7707.069477081299,0.0175,0.016006093,9394.620378112793,0.0,9.765947e-05
53,7712.849865913391,0.0155,0.016223522,9406.885425949096,0.0,9.765773e-05
54,7718.630254745483,0.0195,0.016366152,9419.150473785401,0.0,9.765674e-05
55,7724.410643577576,0.01575,0.016436486,9431.415521621704,0.0,9.7656e-05
56,7730.191032409668,0.015,0.016427593,9443.680569458007,0.0,9.7656e-05
57,7735.97142124176,0.0195,0.016346993,9455.945617294312,0.0,9.76555e-05
58,7741.7518100738525,0.013250000000000001,0.016185507,9468.210665130615,0.0,9.765576e-05
59,7747.532198905945,0.0195,0.01595417,9480.47571296692,0.0,9.7655524e-05
60,7753.312587738037,0.013000000000000001,0.015654769,9492.740760803223,0.0,9.7655546e-05
61,7759.092976570129,0.0155,0.015288338,9505.005808639526,0.0,9.76556e-05
62,7764.873365402222,0.01525,0.014861341,9517.27085647583,0.0,9.765568e-05
63,7770.653754234314,0.015,0.014378133,9529.535904312133,0.0,9.765583e-05
64,7776.434143066406,0.010750000000000001,0.013848859,9541.800952148438,0.0,9.76561e-05
65,7782.2145318984985,0.01375,0.013276125,9554.065999984741,0.0,9.765658e-05
66,7787.994920730591,0.011,0.012668358,9566.331047821044,0.0,9.765743e-05
67,7793.775309562683,0.011999999999999999,0.012031629,9578.596095657349,0.0,9.765889e-05
68,7799.555698394775,0.011,0.011376294,9590.861143493652,0.0,9.76614e-05
69,7805.336087226868,0.00875,0.010706318,9603.126191329957,0.0,9.766564e-05
70,7811.11647605896,0.014249999999999999,0.010029521,9615.39123916626,0.0,9.7672695e-05
71,7816.896864891052,0.011,0.009351725,9627.656287002563,0.0,9.768432e-05
72,7822.6772537231445,0.0072499999999999995,0.008680784,9639.921334838868,0.0,9.770323e-05
73,7828.457642555237,0.005750000000000001,0.0080220215,9652.18638267517,0.0,9.773359e-05
74,7834.238031387329,0.007000000000000001,0.0073790075,9664.451430511475,0.0,9.7781725e-05
75,7840.018420219421,0.00475,0.006756992,9676.716478347778,0.0,9.785704e-05
76,7845.798809051514,0.0062499999999999995,0.006159152,9688.981526184081,0.0,9.797343e-05
77,7851.579197883606,0.00775,0.0055902028,9701.246574020386,0.0,9.8151046e-05
78,7857.359586715698,0.00525,0.0050510364,9713.511621856689,0.0,9.841851e-05
79,7863.1399755477905,0.00375,0.0045438674,9725.776669692994,0.0,9.881633e-05
80,7868.920364379883,0.0062499999999999995,0.0040697306,9738.041717529297,0.0,9.939999e-05
81,7874.700753211975,0.004999999999999999,0.003630234,9750.3067653656,0.0,0.000100246
82,7880.481142044067,0.0029999999999999996,0.003224413,9762.571813201905,0.0,0.000101455276
83,7886.26153087616,0.0024999999999999996,0.0028522676,9774.836861038208,0.0,0.00010316235
84,7892.041919708252,0.002,0.0025129407,9787.101908874512,0.0,0.00010554093
85,7897.822308540344,0.0032500000000000003,0.0022056825,9799.366956710815,0.0,0.000108808505
86,7903.6026973724365,0.001,0.0019292784,9811.632004547118,0.0,0.000113244074
87,7909.383086204529,0.002,0.0016811218,9823.897052383423,0.0,0.00011917667
88,7915.163475036621,0.0012499999999999998,0.0014605343,9836.162100219726,0.0005,0.00012701147
89,7920.943863868713,0.0007499999999999999,0.0012650162,9848.427148056031,0.0,0.00013722005
90,7926.724252700806,0.0005,0.0010931743,9860.692195892334,0.0,0.00015032728
91,7932.504641532898,0.0005,0.0009423306,9872.957243728637,0.00025,0.00016694402
