,pon_mean,pon_var,poff_mean,poff_var,temperature,concentration
0,0.02813685,8.5348165e-06,0.07232066,9.0882335e-05,25,10
1,0.02797574,1.8311839e-05,0.04775255,5.822931e-05,18,10
2,0.024452658,2.4062621e-05,0.036942866,4.378218e-05,13,10
3,0.059536304,5.9824146e-05,0.08741606,0.00014375064,25,20
4,0.05270538,6.0997234e-05,0.04954245,4.0005598e-05,18,20
5,0.045684416,6.31415e-05,0.03472516,8.919405e-05,13,20
6,0.07053028,4.2747815e-05,0.10869306,8.929498e-05,25,30
7,0.072243474,0.00016735448,0.05488883,0.0012168097,18,30
8,0.052961048,0.00010537513,0.03289487,6.0903745e-05,13,30
