,p_on,p_off,error
16,0.001,0.17,2175.476026381256
36,0.01,0.17,1568.8707270972973
56,0.02,0.17,526.3429715084537
76,0.03,0.17,176.60565327288458
96,0.04,0.17,155.36949379291423
116,0.05,0.17,0.0
136,0.06,0.17,0.0
156,0.07,0.17,0.0
176,0.08,0.17,0.0
196,0.09,0.17,0.0
17,0.001,0.18000000000000002,2440.408916019492
37,0.01,0.18000000000000002,1674.8865365175077
57,0.02,0.18000000000000002,491.03372644891033
77,0.03,0.18000000000000002,146.47082871698368
97,0.04,0.18000000000000002,149.44384070865294
117,0.05,0.18000000000000002,0.0
137,0.06,0.18000000000000002,0.0
157,0.07,0.18000000000000002,0.0
177,0.08,0.18000000000000002,0.0
197,0.09,0.18000000000000002,0.0
18,0.001,0.19,2426.5420466347305
38,0.01,0.19,1512.650555323057
58,0.02,0.19,593.7382205835606
78,0.03,0.19,128.02914517332025
98,0.04,0.19,158.58435619422707
118,0.05,0.19,0.0
138,0.06,0.19,0.0
158,0.07,0.19,0.0
178,0.08,0.19,0.0
198,0.09,0.19,0.0
19,0.001,0.2,2368.035392179
39,0.01,0.2,1959.4085492279519
59,0.02,0.2,676.9172852512543
79,0.03,0.2,375.9740630891607
99,0.04,0.2,148.8897913668411
119,0.05,0.2,0.0
139,0.06,0.2,0.0
159,0.07,0.2,0.0
179,0.08,0.2,0.0
199,0.09,0.2,0.0
