lambda, kl_divergence
1.0, 0.11403867335690532
6.004004004004004, 0.015505381048911176
11.008008008008009, 0.007964779138068354
16.012012012012015, 0.0053816993436315
21.016016016016017, 0.0040657592942036904
26.02002002002002, 0.003267342439362367
31.024024024024026, 0.002731167204833191
36.02802802802803, 0.0023462216995799477
41.032032032032035, 0.0020564048257208567
46.03603603603604, 0.0018303304390964968
51.04004004004004, 0.001649048439792862
56.04404404404405, 0.0015004440774138395
61.04804804804805, 0.0013764112752952915
66.05205205205206, 0.001271320929901856
71.05605605605606, 0.0011811416523027191
76.06006006006007, 0.0011029085857477592
81.06406406406407, 0.001034395150157321
86.06806806806807, 0.000973898038724835
91.07207207207207, 0.0009200849741751067
96.07607607607608, 0.0008719090520333788
101.08008008008008, 0.0008285260671269738
106.0840840840841, 0.0007892570326034731
111.0880880880881, 0.0007535408278008526
116.0920920920921, 0.0007209178480991715
121.0960960960961, 0.00069100283578802
126.10010010010011, 0.0006634707574679297
131.10410410410412, 0.0006380489318190876
136.10810810810813, 0.0006145037065894835
141.11211211211213, 0.0005926343537357012
146.11611611611613, 0.0005722677301261032
151.12012012012013, 0.0005532545330202382
156.12412412412414, 0.0005354642426666418
161.12812812812814, 0.0005187825279970223
166.13213213213214, 0.0005031088209950323
171.13613613613614, 0.0004883544364551527
176.14014014014015, 0.0004744407707113183
181.14414414414415, 0.00046129783719371604
186.14814814814815, 0.00044886347043109
191.15215215215215, 0.0004370818676622266
196.15615615615616, 0.0004259029369979396
201.16016016016016, 0.0004152815850255892
206.1641641641642, 0.0004051771091516848
211.1681681681682, 0.0003955526753620164
216.1721721721722, 0.0003863748696006727
221.1761761761762, 0.00037761330937265396
226.1801801801802, 0.0003692403080149088
231.1841841841842, 0.0003612305816070452
236.1881881881882, 0.0003535609744051351
241.1921921921922, 0.00034621018701269174
246.1961961961962, 0.0003391588473790532
251.20020020020021, 0.00033238900594506583
256.2042042042042, 0.00032588413788155017
261.20820820820825, 0.0003196290111129067
266.21221221221225, 0.00031360950540269047
271.21621621621625, 0.00030781253770396797
276.22022022022026, 0.0003022260252485197
281.22422422422426, 0.00029683866705938105
286.22822822822826, 0.0002916399154665513
291.23223223223226, 0.0002866201336104242
296.23623623623627, 0.00028177028189803983
301.24024024024027, 0.0002770818216000482
306.24424424424427, 0.0002725468861724924
311.2482482482483, 0.00026815797076910235
316.2522522522523, 0.00026390808871777844
321.2562562562563, 0.0002597908583072602
326.2602602602603, 0.00025580012435433427
331.2642642642643, 0.00025193020790313864
336.2682682682683, 0.00024817557629362914
341.2722722722723, 0.0002445311675779799
346.2762762762763, 0.00024099227693571523
351.2802802802803, 0.000237554407999738
356.2842842842843, 0.0002342132456983223
361.2882882882883, 0.0002309646727617389
366.2922922922923, 0.00022780501340983138
371.2962962962963, 0.00022473070130908266
376.3003003003003, 0.00022173824594899768
381.3043043043043, 0.00021882436733004773
386.3083083083083, 0.00021598609881647891
391.3123123123123, 0.00021322060897145103
396.3163163163163, 0.00021052493282421638
401.3203203203203, 0.00020789656423235304
406.3243243243244, 0.00020533308415762464
411.3283283283284, 0.00020283205395166574
416.3323323323324, 0.00020039113157966534
421.3363363363364, 0.00019800831196937634
426.3403403403404, 0.0001956815639326828
431.3443443443444, 0.00019340873142201584
436.3483483483484, 0.00019118813333402407
441.3523523523524, 0.0001890180497546163
446.3563563563564, 0.00018689652531046346
451.3603603603604, 0.00018482213807280955
456.3643643643644, 0.0001827934020137272
461.3683683683684, 0.00018080856286008338
466.3723723723724, 0.00017886641976184417
471.3763763763764, 0.00017696564620362843
476.3803803803804, 0.00017510469778822448
481.3843843843844, 0.00017328255567008023
486.3883883883884, 0.00017149799388016767
491.3923923923924, 0.00016974969543648587
496.3963963963964, 0.00016803677994316289
501.40040040040043, 0.00016635807707435094
506.40440440440443, 0.0001647125065504661
511.40840840840843, 0.0001630992960626747
516.4124124124124, 0.00016151726291221795
521.4164164164165, 0.0001599656627251536
526.4204204204204, 0.00015844366157445806
531.4244244244245, 0.00015695021493131747
536.4284284284284, 0.00015548477301248242
541.4324324324325, 0.00015404638838063367
546.4364364364365, 0.00015263435949600828
551.4404404404405, 0.00015124808174059074
556.4444444444445, 0.00014988660512865672
561.4484484484485, 0.0001485495385938518
566.4524524524525, 0.00014723605971205477
571.4564564564565, 0.000145945602755625
576.4604604604605, 0.00014467765334448632
581.4644644644645, 0.0001434314052361836
586.4684684684685, 0.00014220657481349677
591.4724724724725, 0.00014100238326048535
596.4764764764765, 0.00013981847026643636
601.4804804804805, 0.00013865427952879447
606.4844844844845, 0.00013750926295432876
611.4884884884885, 0.00013638311451850838
616.4924924924925, 0.00013527510494416905
621.4964964964965, 0.00013418508698935486
626.5005005005005, 0.0001331123959387527
631.5045045045046, 0.000132056782866265
636.5085085085085, 0.00013101775991382762
641.5125125125126, 0.00012999494554479817
646.5165165165166, 0.0001289880313169512
651.5205205205206, 0.0001279965092263811
656.5245245245246, 0.00012702023805194517
661.5285285285286, 0.00012605859313294732
666.5325325325326, 0.00012511153225644027
671.5365365365366, 0.00012417848749957631
676.5405405405406, 0.00012325934305223285
681.5445445445446, 0.00012235364338458003
686.5485485485486, 0.00012146119698139713
691.5525525525526, 0.00012058165728298827
696.5565565565566, 0.00011971476278851371
701.5605605605606, 0.00011886026495579606
706.5645645645646, 0.00011801784096378645
711.5685685685686, 0.00011718732979823878
716.5725725725727, 0.00011636835505085248
721.5765765765766, 0.0001155608325185747
726.5805805805807, 0.00011476434361481483
731.5845845845846, 0.00011397886616624684
736.5885885885887, 0.00011320394973012813
741.5925925925926, 0.0001124396098170586
746.5965965965967, 0.00011168541893836722
751.6006006006006, 0.00011094137189749894
756.6046046046047, 0.0001102070881946666
761.6086086086086, 0.00010948253768240657
766.6126126126127, 0.00010876738185421715
771.6166166166166, 0.00010806157290753826
776.6206206206207, 0.00010736480535212568
781.6246246246246, 0.00010667702175512928
786.6286286286287, 0.0001059979414658181
791.6326326326326, 0.00010532750167541443
796.6366366366367, 0.00010466544166580902
801.6406406406406, 0.00010401170023499438
806.6446446446447, 0.00010336602751401442
811.6486486486488, 0.00010272837017953791
816.6526526526527, 0.00010209848208408523
821.6566566566568, 0.0001014763233328159
826.6606606606607, 0.00010086164719348137
831.6646646646648, 0.0001002544302536459
836.6686686686687, 9.965441925971475e-05
841.6726726726728, 9.906161476287727e-05
846.6766766766767, 9.847574941382336e-05
851.6806806806808, 9.789683975455532e-05
856.6846846846847, 9.73246360953569e-05
861.6886886886888, 9.675913167677098e-05
866.6926926926927, 9.620012484504886e-05
871.6966966966968, 9.564756321155625e-05
876.7007007007007, 9.510129601156524e-05
881.7047047047048, 9.456124475733124e-05
886.7087087087087, 9.402728248828393e-05
891.7127127127128, 9.349932508708522e-05
896.7167167167167, 9.297725807016505e-05
901.7207207207208, 9.246099296235244e-05
906.7247247247248, 9.195042722214903e-05
911.7287287287288, 9.144547134642289e-05
916.7327327327328, 9.094603429706262e-05
921.7367367367368, 9.045201713790845e-05
926.7407407407408, 8.996336035154562e-05
931.7447447447448, 8.94799196021065e-05
936.7487487487488, 8.900167617792115e-05
941.7527527527528, 8.852848072144463e-05
946.7567567567568, 8.806032503687724e-05
951.7607607607608, 8.759706486317106e-05
956.7647647647648, 8.713868155940782e-05
961.7687687687688, 8.668504738406474e-05
966.7727727727729, 8.6236134638037e-05
971.7767767767768, 8.579183057797792e-05
976.7807807807809, 8.535209696785661e-05
981.7847847847848, 8.491685485471283e-05
986.7887887887889, 8.448598562855509e-05
991.7927927927929, 8.405951376607583e-05
996.7967967967969, 8.363727987794673e-05
1001.8008008008009, 8.321931013602129e-05
1006.8048048048049, 8.280546049515333e-05
1011.8088088088089, 8.239574254373795e-05
1016.8128128128129, 8.199003316999658e-05
1021.8168168168169, 8.15883098901236e-05
1026.820820820821, 8.119052860817468e-05
1031.8248248248249, 8.0796544783323e-05
1036.8288288288288, 8.040642649298946e-05
1041.832832832833, 8.002000660051168e-05
1046.836836836837, 7.963733214038943e-05
1051.8408408408409, 7.925825920703091e-05
1056.8448448448448, 7.88828037803764e-05
1061.848848848849, 7.851090383802418e-05
1066.852852852853, 7.814243779656453e-05
1071.856856856857, 7.777747637271678e-05
1076.8608608608608, 7.741584855551183e-05
1081.864864864865, 7.705762638512959e-05
1086.868868868869, 7.670265469052315e-05
1091.872872872873, 7.635096299851219e-05
1096.8768768768768, 7.60025117223864e-05
1101.880880880881, 7.565715204164048e-05
1106.884884884885, 7.531498976121265e-05
1111.888888888889, 7.497584568010935e-05
1116.8928928928929, 7.463978995980161e-05
1121.896896896897, 7.430671723075634e-05
1126.900900900901, 7.397658779655122e-05
1131.904904904905, 7.36494303900664e-05
1136.908908908909, 7.332507761991078e-05
1141.912912912913, 7.300363560022727e-05
1146.916916916917, 7.268495368156972e-05
1151.920920920921, 7.236906145549908e-05
1156.924924924925, 7.205594234770459e-05
1161.928928928929, 7.174543496615809e-05
1166.932932932933, 7.143767022169672e-05
1171.936936936937, 7.113247647539717e-05
1176.9409409409411, 7.082991050061719e-05
1181.944944944945, 7.052993135932652e-05
1186.948948948949, 7.023241728854106e-05
1191.952952952953, 6.993747278289396e-05
1196.9569569569571, 6.964493176198692e-05
1201.960960960961, 6.935486465336025e-05
1206.964964964965, 6.906721935566042e-05
1211.968968968969, 6.878189527040408e-05
1216.9729729729731, 6.849898359362839e-05
1221.976976976977, 6.821832806623846e-05
1226.980980980981, 6.79399980727161e-05
1231.984984984985, 6.766394951032804e-05
1236.9889889889891, 6.73900749636912e-05
1241.992992992993, 6.711847178647026e-05
1246.996996996997, 6.684899789329379e-05
1252.001001001001, 6.658170240380354e-05
1257.0050050050052, 6.631657056354473e-05
1262.009009009009, 6.605346535097406e-05
1267.013013013013, 6.579250299698853e-05
1272.017017017017, 6.553355799768343e-05
1277.0210210210212, 6.52766534645615e-05
1282.0250250250251, 6.502180142243098e-05
